frame,inliers,dx_px,dy_px,rot_deg,dt_ms
371,92,-6.106,8.094,-1.700,12.82
372,99,-0.316,2.518,-0.058,11.85
373,95,2.039,5.861,-0.109,12.52
374,99,8.361,0.670,0.284,12.70
375,94,-5.072,1.108,0.444,12.21
376,99,-3.870,7.161,-0.366,14.31
377,94,-4.193,14.916,-1.260,9.61
378,99,-1.806,10.505,-1.130,11.82
379,99,-4.820,10.626,-1.036,13.56
380,98,-4.857,9.696,-1.032,12.44
381,98,-3.970,11.402,-1.283,11.38
382,99,-12.811,10.619,-1.224,8.18
383,99,-14.794,11.028,-1.626,11.47
384,93,-6.068,9.216,-1.408,11.24
385,99,-4.615,7.618,-1.222,13.27
386,98,-2.816,9.844,-1.301,20.96
387,97,3.351,11.958,-1.423,16.30
388,99,1.608,10.354,-1.170,14.65
389,95,-10.683,10.367,-1.547,13.79
390,99,-15.957,7.296,-1.060,16.82
391,99,-6.783,9.669,-0.818,13.32
392,99,-6.880,7.076,-0.315,12.60
393,99,-8.925,8.703,-0.345,11.17
394,93,-10.377,6.108,-0.318,10.80
395,99,-22.609,12.812,-0.980,15.23
396,99,-11.276,7.229,-0.771,11.54
397,53,-92.986,85.291,-7.253,12.68
398,93,-7.907,4.101,-0.226,13.33
399,93,-5.887,9.190,-0.585,9.27
400,93,-3.072,6.292,-0.303,15.02
401,93,-4.332,6.030,-0.255,14.26
402,91,5.995,4.280,0.082,14.66
403,91,9.468,3.451,0.312,17.68
404,91,-1.642,0.682,0.380,13.91
405,87,-6.784,1.424,0.466,14.79
406,89,-6.602,3.295,0.604,11.91
407,89,4.793,2.747,0.218,21.51
408,89,2.380,-0.130,0.076,18.08
409,89,-0.507,1.691,-0.239,12.54
410,89,1.503,3.885,-0.538,13.78
411,89,-5.193,7.883,-0.935,12.81
412,89,-5.374,15.580,-1.656,14.14
413,89,-7.801,7.566,-0.942,16.16
414,89,-11.299,6.616,-0.775,13.80
415,89,-0.410,5.078,-0.384,13.72
416,89,-3.318,2.272,-0.216,13.57
417,89,-3.199,1.994,-0.074,16.47
418,89,-2.462,2.571,0.113,13.60
419,89,5.627,0.083,0.377,12.63
420,89,0.979,-0.346,0.299,12.36
421,88,4.895,0.700,0.252,12.41
422,86,12.462,1.940,0.225,14.06
423,89,5.505,0.434,0.131,23.23
424,89,-3.948,1.142,0.024,15.62
425,89,-5.471,1.727,-0.141,17.11
426,89,-11.372,7.669,-0.858,16.83
427,89,0.404,3.413,-0.202,16.43
428,89,-6.654,1.988,-0.102,16.14
429,89,-5.454,3.052,-0.030,10.50
430,87,-6.754,3.672,-0.124,13.63
431,81,-4.975,4.103,-0.162,14.96
432,80,1.839,2.086,0.051,15.89
433,76,3.683,2.159,0.066,12.98
434,1777,-3.779,5.836,-0.080,108.71
435,1789,-5.203,2.781,-0.084,31.72
436,1620,2.182,2.620,-0.222,33.15
437,1322,7.568,3.320,-0.384,48.21
438,1378,3.129,4.702,-0.235,34.21
439,1759,-5.180,6.678,-0.430,34.68
440,1461,-1.892,8.904,-0.763,40.68
441,1691,-1.264,4.836,-0.398,35.87
442,1277,-9.392,2.845,-0.210,35.18
443,1353,-10.686,4.206,-0.246,29.46
444,1696,-4.439,4.908,-0.180,30.48
445,1715,-3.473,3.144,-0.207,53.38
446,1706,0.330,3.632,-0.142,45.85
447,1445,-11.317,7.020,-0.163,33.56
448,1530,-4.750,8.176,-0.348,32.69
449,1473,0.687,7.496,-0.343,36.51
450,1254,-2.597,6.687,-0.074,27.43
451,1420,-5.068,8.279,-0.251,33.90
452,1319,-3.104,9.745,-0.358,29.26
453,1029,-1.806,8.660,-0.660,41.85
454,1010,-2.078,3.648,-0.267,26.54
455,1328,-6.607,5.843,-0.267,28.85
456,1319,-2.652,6.068,-0.282,31.15
457,1300,0.490,4.716,-0.288,39.45
458,1267,-2.356,4.830,-0.310,27.06
459,1217,1.165,4.963,-0.190,24.56
460,1168,3.023,4.194,0.090,24.90
461,1237,1.751,2.832,-0.002,28.08
462,1215,0.251,3.283,0.126,23.13
463,1185,-2.423,3.491,0.185,28.59
464,1167,-2.584,3.462,0.107,44.58
465,1162,-4.283,2.427,0.014,23.59
466,1104,-8.818,2.515,0.081,28.87
467,1130,-4.769,1.765,-0.012,28.15
468,1046,-6.533,2.679,-0.063,22.01
469,1063,-7.534,2.264,-0.114,27.76
470,1025,-8.596,2.116,-0.197,37.58
471,1031,-0.773,0.284,-0.111,23.58
472,961,3.307,0.183,0.112,23.99
473,936,4.104,-1.859,0.250,34.52
474,839,8.238,1.562,0.210,23.76
475,844,12.889,1.945,0.366,25.88
476,924,4.355,-0.431,0.489,32.98
477,997,-2.930,1.317,0.442,31.32
478,983,-2.365,1.380,0.542,38.42
479,884,9.696,-0.896,1.039,27.20
480,834,-0.006,-0.964,0.784,32.25
481,849,-7.883,0.690,0.387,22.65
482,957,-5.652,-0.190,0.264,29.14
483,902,-8.062,0.063,0.042,26.83
